covid_vaccine,flu_shot,gender,age_group,education,race,financial_status,US_State,Census_region,Region
1,1,Female,4,5,White,3,Florida,South Atlantic,South
1,1,Male,2,5,Asian,3,New York,Mid-Atlantic,Northeast
1,1,Female,3,4,White,3,Pennsylvania,Mid-Atlantic,Northeast
0,1,Female,2,2,White,2,Pennsylvania,Mid-Atlantic,Northeast
0,1,Female,2,1,White,2,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,5,2,White,2,Pennsylvania,Mid-Atlantic,Northeast
0,1,Male,2,2,NA,2,Pennsylvania,Mid-Atlantic,Northeast
0,1,Male,2,5,Black,2,New Jersey,Mid-Atlantic,Northeast
0,0,Female,3,5,Black,2,Georgia,South Atlantic,South
1,1,Male,3,4,White,3,Michigan,East North Central,Midwest
1,1,Female,3,3,White,4,New York,Mid-Atlantic,Northeast
1,1,Female,2,2,Hispanic,2,Tennessee,East South Central,South
1,1,Female,2,2,White,3,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,3,4,White,2,Ohio,East North Central,Midwest
1,0,Female,2,4,Black,2,New Jersey,Mid-Atlantic,Northeast
1,1,Female,3,1,White,2,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,3,3,White,2,Pennsylvania,Mid-Atlantic,Northeast
0,1,Male,2,1,White,2,Pennsylvania,Mid-Atlantic,Northeast
0,1,Female,3,3,White,2,New Jersey,Mid-Atlantic,Northeast
1,1,Female,1,2,White,2,Virginia,South Atlantic,South
1,1,Female,3,3,White,2,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,3,2,White,1,Washington,Pacific,West
1,1,Female,1,3,White,2,Pennsylvania,Mid-Atlantic,Northeast
0,0,Female,2,4,NA,1,Oregon,Pacific,West
1,1,Female,5,4,White,2,Pennsylvania,Mid-Atlantic,Northeast
1,0,Female,3,2,White,2,Pennsylvania,Mid-Atlantic,Northeast
0,1,Male,3,2,White,1,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,3,5,White,3,Pennsylvania,Mid-Atlantic,Northeast
0,1,Female,3,2,White,2,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,4,3,White,2,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,2,1,White,2,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,2,4,White,4,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,4,3,White,4,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,4,3,White,3,Pennsylvania,Mid-Atlantic,Northeast
0,1,Female,2,2,White,2,NA,NA,NA
1,1,Female,2,5,White,2,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,3,5,White,3,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,5,2,White,2,Pennsylvania,Mid-Atlantic,Northeast
1,1,Male,4,1,White,2,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,4,4,White,3,Georgia,South Atlantic,South
1,1,Female,2,2,White,2,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,5,2,White,2,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,4,2,White,2,Pennsylvania,Mid-Atlantic,Northeast
1,1,Male,4,2,White,2,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,5,1,White,2,NA,NA,NA
1,1,Female,3,2,White,1,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,2,4,White,3,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,4,4,White,3,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,2,2,White,2,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,2,5,White,3,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,2,4,Asian,2,NA,NA,NA
1,1,Female,2,5,Asian,2,California,Pacific,West
1,0,Male,2,5,Other,2,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,5,2,White,3,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,5,2,White,3,Pennsylvania,Mid-Atlantic,Northeast
1,1,Male,3,3,NA,3,NA,NA,NA
1,0,Male,2,3,Asian,2,California,Pacific,West
1,0,Male,2,5,White,3,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,3,2,Other,2,Nebraska,West North Central,Midwest
1,1,Female,2,4,White,2,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,3,5,Hispanic,2,Pennsylvania,Mid-Atlantic,Northeast
1,1,Male,2,2,White,2,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,4,4,White,2,Maryland,South Atlantic,South
1,1,Female,3,4,White,2,Pennsylvania,Mid-Atlantic,Northeast
0,1,Male,3,2,White,2,Michigan,East North Central,Midwest
1,1,Male,4,2,White,4,Pennsylvania,Mid-Atlantic,Northeast
0,0,Female,2,3,White,2,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,1,2,White,2,Pennsylvania,Mid-Atlantic,Northeast
1,1,Male,2,3,Asian,2,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,1,2,White,2,Maryland,South Atlantic,South
1,1,Female,2,4,Asian,2,Pennsylvania,Mid-Atlantic,Northeast
1,1,Male,2,5,Asian,3,Pennsylvania,Mid-Atlantic,Northeast
1,0,Female,2,4,Other,3,Texas,West South Central,South
1,1,Female,4,1,White,2,Pennsylvania,Mid-Atlantic,Northeast
1,1,Male,4,4,White,3,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,2,5,White,3,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,1,2,Asian,2,Pennsylvania,Mid-Atlantic,Northeast
0,1,Female,2,4,White,3,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,2,4,Asian,3,New Jersey,Mid-Atlantic,Northeast
1,1,Female,2,5,White,2,Washington,Pacific,West
0,1,Female,2,2,White,2,Iowa,West North Central,Midwest
1,0,Female,3,4,Asian,2,Michigan,East North Central,Midwest
1,1,Female,3,5,White,3,Massachusetts,New England,Northeast
1,1,Female,2,4,White,2,Florida,South Atlantic,South
0,1,Female,2,5,White,3,Wisconsin,East North Central,Midwest
1,0,Female,3,1,White,2,Illinois,East North Central,Midwest
1,1,Female,3,4,White,3,Idaho,Mountain,West
1,1,Female,2,5,Asian,2,New York,Mid-Atlantic,Northeast
1,1,Female,4,1,White,2,Pennsylvania,Mid-Atlantic,Northeast
0,1,Female,2,3,White,2,West Virginia,South Atlantic,South
0,1,Female,2,1,White,1,New Jersey,Mid-Atlantic,Northeast
1,1,Female,3,4,White,2,Wisconsin,East North Central,Midwest
1,1,Female,3,5,Asian,3,Illinois,East North Central,Midwest
1,1,Female,2,5,White,3,Texas,West South Central,South
1,1,Female,3,5,Other,3,Maryland,South Atlantic,South
1,0,Female,2,4,Asian,2,Florida,South Atlantic,South
1,1,Male,2,2,Asian,3,Hawaii,Pacific,West
1,1,Female,3,1,White,2,Vermont,New England,Northeast
1,1,Female,4,2,White,2,Florida,South Atlantic,South
1,1,Female,3,4,White,2,Arkansas,West South Central,South
1,1,Female,3,5,White,3,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,3,3,White,2,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,3,2,White,2,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,2,4,Asian,2,Illinois,East North Central,Midwest
1,1,Female,2,4,White,3,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,3,NA,White,2,Michigan,East North Central,Midwest
1,1,Female,4,4,White,2,NA,NA,NA
1,0,Male,2,4,White,2,Pennsylvania,Mid-Atlantic,Northeast
1,0,Male,2,3,White,3,Florida,South Atlantic,South
1,1,Female,2,4,White,4,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,2,2,White,3,Ohio,East North Central,Midwest
1,1,Female,3,2,White,2,Nebraska,West North Central,Midwest
1,1,Female,3,2,White,3,Kansas,West North Central,Midwest
1,1,Female,2,2,White,3,Maryland,South Atlantic,South
1,1,Female,3,1,White,2,Pennsylvania,Mid-Atlantic,Northeast
0,1,Female,2,3,Hispanic,2,Illinois,East North Central,Midwest
1,1,Male,2,5,White,2,Pennsylvania,Mid-Atlantic,Northeast
0,0,Female,2,2,White,2,Pennsylvania,Mid-Atlantic,Northeast
1,1,Male,5,5,White,3,Pennsylvania,Mid-Atlantic,Northeast
0,0,Female,1,1,White,2,Pennsylvania,Mid-Atlantic,Northeast
0,1,Female,2,3,White,2,New Hampshire,New England,Northeast
1,1,Female,3,2,White,3,Minnesota,West North Central,Midwest
1,1,Female,3,4,NA,2,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,2,2,White,3,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,4,2,White,1,Texas,West South Central,South
1,1,Female,1,3,Hispanic,2,Georgia,South Atlantic,South
1,0,Female,3,2,White,2,Pennsylvania,Mid-Atlantic,Northeast
0,1,Male,3,4,White,3,Pennsylvania,Mid-Atlantic,Northeast
1,1,NA,NA,NA,NA,2,Massachusetts,New England,Northeast
0,0,Male,2,2,White,2,Michigan,East North Central,Midwest
1,1,Female,4,4,White,2,Arkansas,West South Central,South
0,1,Male,2,4,Asian,2,Michigan,East North Central,Midwest
1,1,Female,2,1,White,2,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,3,3,White,2,Illinois,East North Central,Midwest
