id,covid_vaccine,flu_shot,gender,age_group,education,race,financial_status,US_State,Census_region,Region
1,1,1,Female,4,5,White,3,Florida,South Atlantic,South
2,1,1,Male,2,5,Asian,3,New York,Mid-Atlantic,Northeast
3,1,1,Female,3,4,White,3,Pennsylvania,Mid-Atlantic,Northeast
4,0,1,Female,2,2,White,2,Pennsylvania,Mid-Atlantic,Northeast
5,0,1,Female,2,1,White,2,Pennsylvania,Mid-Atlantic,Northeast
6,1,1,Female,5,2,White,2,Pennsylvania,Mid-Atlantic,Northeast
7,0,1,Male,2,2,NA,2,Pennsylvania,Mid-Atlantic,Northeast
8,0,1,Male,2,5,Black,2,New Jersey,Mid-Atlantic,Northeast
9,0,0,Female,3,5,Black,2,Georgia,South Atlantic,South
10,1,1,Male,3,4,White,3,Michigan,East North Central,Midwest
11,1,1,Female,3,3,White,4,New York,Mid-Atlantic,Northeast
12,1,1,Female,2,2,Hispanic,2,Tennessee,East South Central,South
13,1,1,Female,2,2,White,3,Pennsylvania,Mid-Atlantic,Northeast
14,1,1,Female,3,4,White,2,Ohio,East North Central,Midwest
15,1,0,Female,2,4,Black,2,New Jersey,Mid-Atlantic,Northeast
16,1,1,Female,3,1,White,2,Pennsylvania,Mid-Atlantic,Northeast
17,1,1,Female,3,3,White,2,Pennsylvania,Mid-Atlantic,Northeast
18,0,1,Male,2,1,White,2,Pennsylvania,Mid-Atlantic,Northeast
19,0,1,Female,3,3,White,2,New Jersey,Mid-Atlantic,Northeast
20,1,1,Female,1,2,White,2,Virginia,South Atlantic,South
21,1,1,Female,3,3,White,2,Pennsylvania,Mid-Atlantic,Northeast
22,1,1,Female,3,2,White,1,Washington,Pacific,West
23,1,1,Female,1,3,White,2,Pennsylvania,Mid-Atlantic,Northeast
24,0,0,Female,2,4,NA,1,Oregon,Pacific,West
25,1,1,Female,5,4,White,2,Pennsylvania,Mid-Atlantic,Northeast
26,1,0,Female,3,2,White,2,Pennsylvania,Mid-Atlantic,Northeast
27,0,1,Male,3,2,White,1,Pennsylvania,Mid-Atlantic,Northeast
28,1,1,Female,3,5,White,3,Pennsylvania,Mid-Atlantic,Northeast
29,0,1,Female,3,2,White,2,Pennsylvania,Mid-Atlantic,Northeast
30,1,1,Female,4,3,White,2,Pennsylvania,Mid-Atlantic,Northeast
31,1,1,Female,2,1,White,2,Pennsylvania,Mid-Atlantic,Northeast
32,1,1,Female,2,4,White,4,Pennsylvania,Mid-Atlantic,Northeast
33,1,1,Female,4,3,White,4,Pennsylvania,Mid-Atlantic,Northeast
34,1,1,Female,4,3,White,3,Pennsylvania,Mid-Atlantic,Northeast
35,0,1,Female,2,2,White,2,NA,NA,NA
36,1,1,Female,2,5,White,2,Pennsylvania,Mid-Atlantic,Northeast
37,1,1,Female,3,5,White,3,Pennsylvania,Mid-Atlantic,Northeast
38,1,1,Female,5,2,White,2,Pennsylvania,Mid-Atlantic,Northeast
39,1,1,Male,4,1,White,2,Pennsylvania,Mid-Atlantic,Northeast
40,1,1,Female,4,4,White,3,Georgia,South Atlantic,South
41,1,1,Female,2,2,White,2,Pennsylvania,Mid-Atlantic,Northeast
42,1,1,Female,5,2,White,2,Pennsylvania,Mid-Atlantic,Northeast
43,1,1,Female,4,2,White,2,Pennsylvania,Mid-Atlantic,Northeast
44,1,1,Male,4,2,White,2,Pennsylvania,Mid-Atlantic,Northeast
45,1,1,Female,5,1,White,2,NA,NA,NA
46,1,1,Female,3,2,White,1,Pennsylvania,Mid-Atlantic,Northeast
47,1,1,Female,2,4,White,3,Pennsylvania,Mid-Atlantic,Northeast
48,1,1,Female,4,4,White,3,Pennsylvania,Mid-Atlantic,Northeast
49,1,1,Female,2,2,White,2,Pennsylvania,Mid-Atlantic,Northeast
50,1,1,Female,2,5,White,3,Pennsylvania,Mid-Atlantic,Northeast
51,1,1,Female,2,4,Asian,2,NA,NA,NA
52,1,1,Female,2,5,Asian,2,California,Pacific,West
53,1,0,Male,2,5,Other,2,Pennsylvania,Mid-Atlantic,Northeast
54,1,1,Female,5,2,White,3,Pennsylvania,Mid-Atlantic,Northeast
55,1,1,Female,5,2,White,3,Pennsylvania,Mid-Atlantic,Northeast
56,1,1,Male,3,3,NA,3,NA,NA,NA
57,1,0,Male,2,3,Asian,2,California,Pacific,West
58,1,0,Male,2,5,White,3,Pennsylvania,Mid-Atlantic,Northeast
59,1,1,Female,3,2,Other,2,Nebraska,West North Central,Midwest
60,1,1,Female,2,4,White,2,Pennsylvania,Mid-Atlantic,Northeast
61,1,1,Female,3,5,Hispanic,2,Pennsylvania,Mid-Atlantic,Northeast
62,1,1,Male,2,2,White,2,Pennsylvania,Mid-Atlantic,Northeast
63,1,1,Female,4,4,White,2,Maryland,South Atlantic,South
64,1,1,Female,3,4,White,2,Pennsylvania,Mid-Atlantic,Northeast
65,0,1,Male,3,2,White,2,Michigan,East North Central,Midwest
66,1,1,Male,4,2,White,4,Pennsylvania,Mid-Atlantic,Northeast
67,0,0,Female,2,3,White,2,Pennsylvania,Mid-Atlantic,Northeast
68,1,1,Female,1,2,White,2,Pennsylvania,Mid-Atlantic,Northeast
69,1,1,Male,2,3,Asian,2,Pennsylvania,Mid-Atlantic,Northeast
70,1,1,Female,1,2,White,2,Maryland,South Atlantic,South
71,1,1,Female,2,4,Asian,2,Pennsylvania,Mid-Atlantic,Northeast
72,1,1,Male,2,5,Asian,3,Pennsylvania,Mid-Atlantic,Northeast
73,1,0,Female,2,4,Other,3,Texas,West South Central,South
74,1,1,Female,4,1,White,2,Pennsylvania,Mid-Atlantic,Northeast
75,1,1,Male,4,4,White,3,Pennsylvania,Mid-Atlantic,Northeast
76,1,1,Female,2,5,White,3,Pennsylvania,Mid-Atlantic,Northeast
77,1,1,Female,1,2,Asian,2,Pennsylvania,Mid-Atlantic,Northeast
78,0,1,Female,2,4,White,3,Pennsylvania,Mid-Atlantic,Northeast
79,1,1,Female,2,4,Asian,3,New Jersey,Mid-Atlantic,Northeast
80,1,1,Female,2,5,White,2,Washington,Pacific,West
81,0,1,Female,2,2,White,2,Iowa,West North Central,Midwest
82,1,0,Female,3,4,Asian,2,Michigan,East North Central,Midwest
83,1,1,Female,3,5,White,3,Massachusetts,New England,Northeast
84,1,1,Female,2,4,White,2,Florida,South Atlantic,South
85,0,1,Female,2,5,White,3,Wisconsin,East North Central,Midwest
86,1,0,Female,3,1,White,2,Illinois,East North Central,Midwest
87,1,1,Female,3,4,White,3,Idaho,Mountain,West
88,1,1,Female,2,5,Asian,2,New York,Mid-Atlantic,Northeast
89,1,1,Female,4,1,White,2,Pennsylvania,Mid-Atlantic,Northeast
